"Datum,""Ticket Nummer"",""Knop Keuze"",""Balie"",""Tijd Start"",""Tijd Aangenomen"",""Wachttijd in sec"""
"2023-06-01,""101"",""1"",""4"",""08:31:20"",""08:31:50"",""30"""
"2023-06-01,""102"",""1"",""5"",""09:12:35"",""09:12:48"",""13"""
"2023-06-01,""103"",""1"",""4"",""09:21:08"",""09:21:21"",""13"""
"2023-06-01,""104"",""1"",""4"",""09:21:50"",""09:22:39"",""49"""
"2023-06-01,""105"",""1"",""5"",""09:28:46"",""09:30:20"",""94"""
"2023-06-01,""106"",""1"",""5"",""09:30:37"",""09:31:06"",""29"""
"2023-06-01,""107"",""1"",""5"",""09:34:24"",""09:34:40"",""16"""
"2023-06-01,""108"",""1"",""5"",""09:39:08"",""09:39:38"",""30"""
"2023-06-01,""109"",""1"",""5"",""09:40:34"",""09:40:41"",""7"""
"2023-06-01,""110"",""1"",""5"",""09:40:51"",""09:45:21"",""270"""
"2023-06-01,""111"",""1"",""5"",""09:46:47"",""09:49:23"",""156"""
"2023-06-01,""112"",""1"",""5"",""09:48:00"",""09:51:47"",""227"""
"2023-06-01,""113"",""1"",""5"",""09:57:09"",""09:58:53"",""104"""
"2023-06-01,""114"",""1"",""4"",""10:16:35"",""10:17:08"",""33"""
"2023-06-01,""115"",""1"",""4"",""10:22:15"",""10:25:09"",""174"""
"2023-06-01,""116"",""1"",""5"",""10:34:01"",""10:34:18"",""17"""
"2023-06-01,""117"",""1"",""3"",""10:34:33"",""10:39:06"",""273"""
"2023-06-01,""118"",""1"",""5"",""10:49:02"",""10:50:10"",""68"""
"2023-06-01,""119"",""1"",""5"",""10:57:15"",""10:57:53"",""38"""
"2023-06-01,""120"",""1"",""5"",""11:00:12"",""11:02:06"",""114"""
"2023-06-01,""121"",""1"",""5"",""11:09:47"",""11:09:59"",""12"""
"2023-06-01,""122"",""1"",""3"",""11:13:33"",""11:13:44"",""11"""
"2023-06-01,""123"",""1"",""5"",""11:17:02"",""11:17:38"",""36"""
"2023-06-01,""124"",""1"",""2"",""11:24:16"",""11:27:33"",""197"""
"2023-06-01,""125"",""1"",""2"",""11:24:31"",""11:27:35"",""184"""
